curve_type,class_id,class_name,fpr,tpr,threshold
micro,,,0.10416666666666667,0.1375,0.2946181
micro,,,0.10416666666666667,0.15,0.29460952
micro,,,0.1125,0.15,0.29442275
micro,,,0.1125,0.1625,0.29425332
micro,,,0.15416666666666667,0.1625,0.29352143
micro,,,0.15416666666666667,0.1875,0.29339442
micro,,,0.17083333333333334,0.1875,0.29272515
micro,,,0.17083333333333334,0.2,0.29271984
micro,,,0.19166666666666668,0.2,0.29205146
micro,,,0.19166666666666668,0.2125,0.29204822
micro,,,0.22083333333333333,0.2125,0.29086658
micro,,,0.22083333333333333,0.225,0.29069042
micro,,,0.22916666666666666,0.225,0.29011476
micro,,,0.22916666666666666,0.25,0.2899969
micro,,,0.2375,0.25,0.2897331
micro,,,0.2375,0.2625,0.28952935
micro,,,0.2916666666666667,0.2625,0.25857726
micro,,,0.2916666666666667,0.2875,0.25817987
micro,,,0.3125,0.2875,0.257725
micro,,,0.3125,0.3,0.25768986
micro,,,0.3375,0.3,0.25708306
micro,,,0.3375,0.325,0.25689182
micro,,,0.3458333333333333,0.325,0.25680763
micro,,,0.3458333333333333,0.3375,0.25677523
micro,,,0.3541666666666667,0.3375,0.25653416
micro,,,0.3541666666666667,0.35,0.25645018
micro,,,0.3625,0.35,0.2563365
micro,,,0.3625,0.375,0.25605497
micro,,,0.3958333333333333,0.375,0.25518623
micro,,,0.3958333333333333,0.3875,0.25489137
micro,,,0.4,0.3875,0.25480703
micro,,,0.4,0.4,0.25480613
micro,,,0.4041666666666667,0.4,0.25474125
micro,,,0.4041666666666667,0.4375,0.25469393
micro,,,0.44166666666666665,0.4375,0.25344416
micro,,,0.44166666666666665,0.45,0.25340614
micro,,,0.4791666666666667,0.45,0.2523101
micro,,,0.4791666666666667,0.4625,0.25226673
micro,,,0.48333333333333334,0.4625,0.25220788
micro,,,0.48333333333333334,0.5,0.25139022
micro,,,0.49583333333333335,0.5,0.25055984
micro,,,0.49583333333333335,0.5125,0.2502991
micro,,,0.5041666666666667,0.5125,0.23091018
micro,,,0.5041666666666667,0.525,0.23071723
micro,,,0.5208333333333334,0.525,0.22975715
micro,,,0.5208333333333334,0.55,0.22958079
micro,,,0.5458333333333333,0.55,0.22848593
micro,,,0.5458333333333333,0.5625,0.22846206
micro,,,0.5583333333333333,0.5625,0.22827287
micro,,,0.5583333333333333,0.575,0.22819881
micro,,,0.5875,0.575,0.22761928
micro,,,0.5875,0.5875,0.2275124
micro,,,0.6041666666666666,0.5875,0.22687624
micro,,,0.6041666666666666,0.6,0.22684234
micro,,,0.6125,0.6,0.22681782
micro,,,0.6125,0.6125,0.2267759
micro,,,0.6166666666666667,0.6125,0.2267755
micro,,,0.6166666666666667,0.625,0.22670485
micro,,,0.6208333333333333,0.625,0.22668155
micro,,,0.6208333333333333,0.6375,0.22665676
micro,,,0.6291666666666667,0.6375,0.22656655
micro,,,0.6291666666666667,0.65,0.22656585
micro,,,0.6583333333333333,0.65,0.22644095
micro,,,0.6583333333333333,0.6625,0.22634329
micro,,,0.6666666666666666,0.6625,0.22609916
micro,,,0.6666666666666666,0.675,0.22589368
micro,,,0.6791666666666667,0.675,0.22576031
micro,,,0.6791666666666667,0.6875,0.22561303
micro,,,0.6875,0.6875,0.22545555
micro,,,0.6875,0.7,0.22544655
micro,,,0.6916666666666667,0.7,0.22542118
micro,,,0.6916666666666667,0.7125,0.22534855
micro,,,0.7083333333333334,0.7125,0.22523049
micro,,,0.7083333333333334,0.7375,0.22518565
micro,,,0.725,0.7375,0.2249667
micro,,,0.725,0.75,0.22496668
micro,,,0.7291666666666666,0.75,0.22494818
micro,,,0.7291666666666666,0.775,0.22491749
micro,,,0.7333333333333333,0.775,0.22487974
micro,,,0.7333333333333333,0.7875,0.22469471
micro,,,0.7875,0.7875,0.22442804
micro,,,0.7875,0.8,0.2244031
micro,,,0.8,0.8,0.22431877
micro,,,0.8,0.8125,0.22425103
micro,,,0.8041666666666667,0.8125,0.22423607
micro,,,0.8041666666666667,0.8375,0.2241217
micro,,,0.8416666666666667,0.8375,0.22383747
micro,,,0.8416666666666667,0.8625,0.22376303
micro,,,0.8583333333333333,0.8625,0.22368968
micro,,,0.8583333333333333,0.875,0.22367424
micro,,,0.8791666666666667,0.875,0.22349524
micro,,,0.8791666666666667,0.8875,0.22344898
micro,,,0.8958333333333334,0.8875,0.22338201
micro,,,0.8958333333333334,0.9,0.22334939
micro,,,0.9375,0.9,0.22253145
micro,,,0.9375,0.9125,0.22248118
micro,,,0.9416666666666667,0.9125,0.22242302
micro,,,0.9416666666666667,0.925,0.22242275
micro,,,0.9583333333333334,0.925,0.222163
micro,,,0.9583333333333334,0.9375,0.22209474
micro,,,0.9625,0.9375,0.22189993
micro,,,0.9625,0.9625,0.22163352
micro,,,0.975,0.9625,0.22144803
micro,,,0.975,0.975,0.22128788
micro,,,0.9791666666666666,0.975,0.22121151
micro,,,0.9791666666666666,0.9875,0.22073498
micro,,,0.9958333333333333,0.9875,0.21974494
micro,,,0.9958333333333333,1.0,0.2195888
micro,,,1.0,1.0,0.21834895
macro,,,0.0,0.011904761904761904,
macro,,,0.016129032258064516,0.011904761904761904,
macro,,,0.016666666666666666,0.011904761904761904,
macro,,,0.01694915254237288,0.011904761904761904,
macro,,,0.06779661016949153,0.03571428571428571,
macro,,,0.08064516129032258,0.06349206349206349,
macro,,,0.0847457627118644,0.0873015873015873,
macro,,,0.1016949152542373,0.0992063492063492,
macro,,,0.15254237288135594,0.1111111111111111,
macro,,,0.1694915254237288,0.12301587301587301,
macro,,,0.18333333333333332,0.148015873015873,
macro,,,0.1864406779661017,0.18373015873015874,
macro,,,0.22033898305084745,0.20753968253968252,
macro,,,0.22580645161290322,0.22142857142857142,
macro,,,0.23728813559322035,0.2333333333333333,
macro,,,0.26666666666666666,0.24583333333333332,
macro,,,0.27419354838709675,0.2597222222222222,
macro,,,0.288135593220339,0.30734126984126986,
macro,,,0.2903225806451613,0.3212301587301587,
macro,,,0.3220338983050847,0.3331349206349207,
macro,,,0.3225806451612903,0.3470238095238095,
macro,,,0.3559322033898305,0.3708333333333333,
macro,,,0.36666666666666664,0.3958333333333333,
macro,,,0.4,0.40833333333333327,
macro,,,0.4067796610169492,0.42023809523809524,
macro,,,0.41935483870967744,0.43412698412698414,
macro,,,0.423728813559322,0.4579365079365079,
macro,,,0.43333333333333335,0.47043650793650793,
macro,,,0.4576271186440678,0.4823412698412698,
macro,,,0.4666666666666667,0.5073412698412698,
macro,,,0.46774193548387094,0.5212301587301587,
macro,,,0.5,0.5351190476190476,
macro,,,0.5161290322580645,0.5490079365079366,
macro,,,0.559322033898305,0.5728174603174603,
macro,,,0.5967741935483871,0.5867063492063492,
macro,,,0.6,0.5992063492063492,
macro,,,0.6166666666666667,0.6117063492063493,
macro,,,0.6271186440677966,0.6355158730158731,
macro,,,0.6333333333333333,0.6730158730158731,
macro,,,0.6610169491525424,0.6849206349206349,
macro,,,0.6612903225806451,0.6988095238095238,
macro,,,0.6949152542372882,0.7226190476190476,
macro,,,0.7096774193548387,0.7365079365079366,
macro,,,0.7741935483870968,0.7503968253968254,
macro,,,0.7796610169491526,0.7623015873015873,
macro,,,0.7833333333333333,0.7748015873015872,
macro,,,0.7903225806451613,0.7886904761904762,
macro,,,0.847457627118644,0.8005952380952381,
macro,,,0.864406779661017,0.8125000000000001,
macro,,,0.8983050847457628,0.824404761904762,
macro,,,0.9152542372881356,0.8363095238095238,
macro,,,0.9322033898305084,0.8601190476190476,
macro,,,0.9333333333333333,0.8726190476190477,
macro,,,0.9354838709677419,0.9003968253968255,
macro,,,0.95,0.9378968253968254,
macro,,,0.9516129032258065,0.9517857142857142,
macro,,,0.9661016949152542,0.9755952380952381,
macro,,,1.0,1.0,
